"user_id","listing_id","period_start","period_end"
124200.0,3474664.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3477519.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3477694.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124713.0,3479330.0,"2025-10-24 00:00:00.000","2025-11-28 00:00:00.000"
124219.0,3466992.0,"2025-09-05 00:00:00.000","2025-12-05 00:00:00.000"
126863.0,3540491.0,"2025-10-24 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558046.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
126869.0,3539614.0,"2025-09-26 00:00:00.000","2025-10-22 00:00:00.000"
124200.0,3474447.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124112.0,3558643.0,"2025-11-06 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474941.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474363.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3477540.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473778.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124112.0,3558233.0,"2025-11-13 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558048.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474940.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124384.0,3632580.0,"2025-11-06 00:00:00.000","2025-12-05 00:00:00.000"
124161.0,3651709.0,"2025-11-05 00:00:00.000","2025-12-05 00:00:00.000"
124684.0,3556946.0,"2025-11-08 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474847.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124047.0,3530416.0,"2025-10-06 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3473998.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473670.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
126645.0,3533031.0,"2025-09-24 00:00:00.000","2025-12-05 00:00:00.000"
125267.0,3485672.0,"2025-09-09 00:00:00.000","2025-09-22 00:00:00.000"
124853.0,3478090.0,"2025-09-05 00:00:00.000","2025-12-05 00:00:00.000"
126620.0,3531276.0,"2025-09-25 00:00:00.000","2025-11-29 00:00:00.000"
125104.0,3486332.0,"2025-12-02 00:00:00.000","2025-12-02 00:00:00.000"
124200.0,3474705.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3477145.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474793.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
126437.0,3526231.0,"2025-11-04 00:00:00.000","2025-11-04 00:00:00.000"
124599.0,3473534.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558401.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558915.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
125728.0,3512312.0,"2025-09-18 00:00:00.000","2025-10-13 00:00:00.000"
124599.0,3474293.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558898.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
126993.0,3529038.0,"2025-10-07 00:00:00.000","2025-10-15 00:00:00.000"
124200.0,3558556.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124471.0,3472864.0,"2025-09-03 00:00:00.000","2025-12-05 00:00:00.000"
125652.0,3485429.0,"2025-09-23 00:00:00.000","2025-12-05 00:00:00.000"
125393.0,3482651.0,"2025-09-08 00:00:00.000","2025-11-09 00:00:00.000"
124200.0,3558671.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
125526.0,3562384.0,"2025-10-08 00:00:00.000","2025-11-07 00:00:00.000"
124684.0,3556990.0,"2025-11-08 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473784.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558636.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124376.0,3579002.0,"2025-10-09 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473990.0,"2025-11-04 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558039.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558360.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558536.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124639.0,3476358.0,"2025-09-04 00:00:00.000","2025-12-05 00:00:00.000"
125013.0,3494949.0,"2025-09-13 00:00:00.000","2025-12-05 00:00:00.000"
124704.0,3472242.0,"2025-09-03 00:00:00.000","2025-09-03 00:00:00.000"
124684.0,3687644.0,"2025-11-14 00:00:00.000","2025-11-28 00:00:00.000"
125162.0,3505607.0,"2025-09-15 00:00:00.000","2025-12-05 00:00:00.000"
126620.0,355919.0,"2025-12-02 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3557958.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558178.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558105.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3474138.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
125104.0,3486455.0,"2025-12-02 00:00:00.000","2025-12-02 00:00:00.000"
124713.0,3479445.0,"2025-10-24 00:00:00.000","2025-11-28 00:00:00.000"
124200.0,3558692.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3474167.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3557843.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
126437.0,3525794.0,"2025-09-21 00:00:00.000","2025-10-29 00:00:00.000"
124599.0,3474171.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
126620.0,355919.0,"2025-10-09 00:00:00.000","2025-11-29 00:00:00.000"
125526.0,3561684.0,"2025-11-14 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474349.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124196.0,3468024.0,"2025-09-02 00:00:00.000","2025-11-30 00:00:00.000"
124209.0,3549307.0,"2025-09-30 00:00:00.000","2025-09-30 00:00:00.000"
124599.0,3474312.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124417.0,3470421.0,"2025-09-02 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473369.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3474300.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124684.0,3557490.0,"2025-11-08 00:00:00.000","2025-12-05 00:00:00.000"
124112.0,3558161.0,"2025-11-13 00:00:00.000","2025-12-05 00:00:00.000"
126720.0,3539100.0,"2025-10-01 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3474460.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558237.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474561.0,"2025-12-03 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473850.0,"2025-11-04 00:00:00.000","2025-12-05 00:00:00.000"
125162.0,3505849.0,"2025-09-15 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558661.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
125663.0,3498590.0,"2025-09-16 00:00:00.000","2025-09-19 00:00:00.000"
125516.0,3506302.0,"2025-09-15 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474800.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3474006.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
123735.0,3468305.0,"2025-11-11 00:00:00.000","2025-12-05 00:00:00.000"
124161.0,3652156.0,"2025-11-05 00:00:00.000","2025-12-05 00:00:00.000"
124161.0,3651221.0,"2025-11-05 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558667.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3474041.0,"2025-11-07 00:00:00.000","2025-11-18 00:00:00.000"
124713.0,3478957.0,"2025-10-23 00:00:00.000","2025-11-28 00:00:00.000"
124200.0,3558173.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
126245.0,3524977.0,"2025-09-23 00:00:00.000","2025-09-29 00:00:00.000"
124599.0,3477140.0,"2025-11-07 00:00:00.000","2025-11-22 00:00:00.000"
124630.0,3478250.0,"2025-10-27 00:00:00.000","2025-10-30 00:00:00.000"
125104.0,3491283.0,"2025-09-11 00:00:00.000","2025-09-27 00:00:00.000"
124632.0,3441324.0,"2025-10-01 00:00:00.000","2025-10-02 00:00:00.000"
124200.0,3558265.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3557950.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124639.0,3477066.0,"2025-09-04 00:00:00.000","2025-12-05 00:00:00.000"
124376.0,3578818.0,"2025-10-09 00:00:00.000","2025-12-05 00:00:00.000"
125104.0,3486474.0,"2025-12-02 00:00:00.000","2025-12-02 00:00:00.000"
126620.0,3539796.0,"2025-12-02 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558297.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473620.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124519.0,3471000.0,"2025-09-02 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3548303.0,"2025-10-01 00:00:00.000","2025-12-05 00:00:00.000"
125526.0,3561938.0,"2025-11-15 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3474221.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124535.0,3470230.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124632.0,2333484.0,"2025-11-01 00:00:00.000","2025-11-13 00:00:00.000"
126243.0,3547488.0,"2025-10-26 00:00:00.000","2025-12-05 00:00:00.000"
124384.0,3534128.0,"2025-10-15 00:00:00.000","2025-12-05 00:00:00.000"
125526.0,3562253.0,"2025-10-08 00:00:00.000","2025-11-07 00:00:00.000"
125013.0,3495203.0,"2025-09-12 00:00:00.000","2025-12-05 00:00:00.000"
124376.0,3579017.0,"2025-10-09 00:00:00.000","2025-12-05 00:00:00.000"
124764.0,3545441.0,"2025-09-29 00:00:00.000","2025-12-05 00:00:00.000"
126869.0,3539709.0,"2025-09-26 00:00:00.000","2025-10-22 00:00:00.000"
124200.0,3474373.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473626.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558719.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
